GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	 LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS351170524	2015-11-01 22:31:55	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Cozumel	L2417739	P	20.4935859	-86.8453284	2015-09-16	06:00:00	obsr411187	S25667824	Traveling	P22	EBIRD_MEX	90	1		2	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS349961576	2015-10-26 13:43:25	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			MX-QROO-Cozumel-Cozumel country club - 20.5462x-86.9222	L3975192	P	20.546234	-86.922233	2015-10-25	07:10:00	obsr31473	S25557402	Traveling	P22	EBIRD	150	2.5		3	1		0	1	0		<br />Submitted from eBird for iOS, version 1.1.3 Build 29	
URN:CornellLabOfOrnithology:EBIRD:OBS330761745	2015-07-09 17:33:53	19161	species	Cozumel Vireo	Vireo bairdi			4				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Isla de la Pasion	L3776634	H	20.5476558	-86.8637896	2015-07-01	16:30:00	obsr637068	S24188069	Traveling	P22	EBIRD_MEX	120	3		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS359533358	2017-03-29 22:19:57	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Centro de Conservación y Educación Ambiental--Parque Arqueologico de Cozumel	L4104003	H	20.4808536	-86.9602552	2015-12-16	14:00:00	obsr639109	S26337523	Traveling	P22	EBIRD	30	0.1		3	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS298629021	2015-05-18 17:57:30	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Isla Cozumel	L221424	H	20.3983115	-86.961937	2015-02-20	07:00:00	obsr30770	S21993135	Traveling	P22	EBIRD	480	40.234		3	1	G1154217	0	1	0		We met Eduardo at our hotel Casa Mexicana at 6:30 AM, then drove north to the sewage treatment area.  We had a nice look at what was later identified as a MARGAY crossing the road close to us, probably looking for a crake for breakfast.  Deb thought it looked like a small Jaguar.  Then we went to the ruins in the center of the island where we saw the endangered COZUMEL COATIMUNDI, then drove around to the southern tip where there were two lagoon areas with a lot of birds and a WHITE-TAILED DEER and a CROCODILE.  A good day for mammals.  Later we left Eduardo at about 2 Pm, had lunch at a nice place near our hotel.  Then we went to the beach area to the south and Deb took in some sun while I birded across the highway near a small village.  Dinner with musical serenading at the Mission Cafe was fair but a long walk outside of town.  We had to take a cab back.  Night at Casa Mexicana ($105).	
URN:CornellLabOfOrnithology:EBIRD:OBS357314424	2015-12-08 16:38:14	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Isla Cozumel	L221424	H	20.3983115	-86.961937	2015-11-27	08:00:00	obsr541232	S26143870	Traveling	P22	EBIRD	300	32.187		3	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS360201498	2017-03-29 22:19:57	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Centro de Conservación y Educación Ambiental--Parque Arqueologico de Cozumel	L4104003	H	20.4808536	-86.9602552	2015-10-19	12:00:00	obsr639109	S26386775	Traveling	P22	EBIRD	30	0.5		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS358087820	2015-12-09 11:16:37	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Isla Cozumel	L221424	H	20.3983115	-86.961937	2015-12-07	08:00:00	obsr540744	S26213591	Traveling	P22	EBIRD	300	25.75		4	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS298629926	2015-05-18 17:57:30	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Isla Cozumel	L221424	H	20.3983115	-86.961937	2015-02-20	07:00:00	obsr140022	S21993212	Traveling	P22	EBIRD	480	40.233		3	1	G1154217	0	1	0		Submitted from  BirdLog CA for Android v1.9.6	
URN:CornellLabOfOrnithology:EBIRD:OBS359532014	2017-03-29 22:19:56	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Centro de Conservación y Educación Ambiental--Parque Arqueologico de Cozumel	L4104003	H	20.4808536	-86.9602552	2015-12-16	08:00:00	obsr639109	S26337412	Traveling	P22	EBIRD	30	0.1		3	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS298478119	2015-05-22 17:36:37	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Isla Cozumel	L221424	H	20.3983115	-86.961937	2015-02-19	14:00:00	obsr30770	S21980621	Traveling	P22	EBIRD	180	32.187		2	1	G1153069	0	1	0		We took the 10 AM ferry to Cozumel, then waited in town for 45 minutes for the rental car.  I felt seasick from the 45-minute rocky ferry drive.  They did have a good band on board but I forgot their name.  We were given a ride to the nearby airport to pick up the car, then went to the Casa Mexicana ($105).  Then we drove around the southern part of the island.  We stopped for a snack lunch of limonada and guacamole at a roadside restaurant that was very nice. Dinner at Mozikas ($370 MEX) spaghetti and shrimp quesadillas, beer, wine, that was very good.  Night at Casa Mexicana.	photo
URN:CornellLabOfOrnithology:EBIRD:OBS298478501	2015-05-22 17:36:37	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Isla Cozumel	L221424	H	20.3983115	-86.961937	2015-02-19	14:00:00	obsr140022	S21980646	Traveling	P22	EBIRD	180	32.186		2	1	G1153069	0	1	0		Submitted from  BirdLog CA for Android v1.9.6	
URN:CornellLabOfOrnithology:EBIRD:OBS356235210	2017-03-27 14:42:46	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Isla Cozumel -- San Gervaiso entrance road	L4032042	P	20.467493	-86.878109	2015-11-28	08:45:00	obsr395486	S26056353	Traveling	P22	EBIRD	50	1.5		2	1	G1482881	1	1	0		Stopping occasionally along the first part of the entrance road and walking up the side roads a short distance. Sunny and mostly clear. Light winds. Good birding along the road.  <br />Submitted from eBird for iOS, version 1.1.3 Build 30	
URN:CornellLabOfOrnithology:EBIRD:OBS359768888	2018-08-06 17:45:14	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Cozumel Isla	L4075189	P	20.4378524	-86.9068766	2015-01-26	07:00:00	obsr608861	S26355885	Historical	P62	EBIRD	720			3	1		0	1	0		Spent a few days birding and diving with my parents around the island following Howell's Guide	
URN:CornellLabOfOrnithology:EBIRD:OBS349961021	2015-10-26 13:40:51	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			MX-QROO-Cozumel-Carretera Costera Sur - 20.3720x-87.0186	L3975187	P	20.372021	-87.018589	2015-10-26	12:23:00	obsr31473	S25557371	Stationary	P21	EBIRD	15			2	1		0	1	0		<br />Submitted from eBird for iOS, version 1.1.3 Build 29	
URN:CornellLabOfOrnithology:EBIRD:OBS289888174	2015-09-29 16:24:30	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Zona Arqueológica San Gervasio	L454906	H	20.499828	-86.8459126	2015-01-08	09:08:00	obsr436064	S21254931	Traveling	P22	EBIRD	153	4.828		2	1	G1101354	0	1	0		Very breezy as we walked around the ruins.  Birding was quite difficult, little singing or calling.  Mostly cloudy, wind N 5-20, 75F. Submitted from  BirdLog CA for Android v1.9.6	
URN:CornellLabOfOrnithology:EBIRD:OBS302098432	2016-01-06 22:50:49	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178				Isla Cozumel, Carretera Costera Sur	L3470914	P	20.4105788	-87.0158923	2015-03-02	07:00:00	obsr312191	S22263951	Traveling	P22	EBIRD_QC	105	0.7		1	1		1	1	0			Exact location: N20.41031 W87.01580. Well seen, responsive to playback.
URN:CornellLabOfOrnithology:EBIRD:OBS445324317	2018-04-17 10:42:03	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Iberostar Cozumel	L5259576	H	20.3702163	-87.0216322	2015-11-17	07:00:00	obsr439633	S32718145	Traveling	P22	EBIRD	90	3		2	1	G2051426	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS289131989	2015-08-31 13:44:21	19161	species	Cozumel Vireo	Vireo bairdi			3				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Zona Arqueológica San Gervasio	L454906	H	20.499828	-86.8459126	2015-01-02	14:00:00	obsr344577	S21195201	Traveling	P22	EBIRD	120	1		4	1		0	1	0		Fanja Andriamialisoa, Tahiry, Sariaka and Olivier Langrand	
URN:CornellLabOfOrnithology:EBIRD:OBS289886149	2015-09-29 16:24:30	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Zona Arqueológica San Gervasio	L454906	H	20.499828	-86.8459126	2015-01-08	09:08:00	obsr115431	S21254750	Traveling	P22	EBIRD	153	4.828		2	1	G1101354	0	1	0		Very breezy as we walked around the ruins.  Birding was quite difficult, little singing or calling.  Mostly cloudy, wind N 5-20, 75F. Submitted from  BirdLog CA for Android v1.9.6	
URN:CornellLabOfOrnithology:EBIRD:OBS289421573	2019-01-15 20:00:03	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Occidental Grand Resort	L3269942	P	20.3758084	-87.0209992	2015-01-03	16:00:00	obsr352640	S21217776	Traveling	P22	EBIRD	60	1		1	1		0	1	0		Walk through resort on way down to Lagoon South of resort along beach, where most of time was spent.	
URN:CornellLabOfOrnithology:EBIRD:OBS307795134	2018-12-09 14:35:05	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178				Isla Cozumel--Terminal de Cruceros	L2406448	H	20.4779389	-86.973331	2015-03-31	09:00:00	obsr561574	S22643589	Traveling	P22	EBIRD	240	4		2	1		1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS302127064	2015-05-18 18:09:11	19161	species	Cozumel Vireo	Vireo bairdi			X				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Cozumel, Mexico	L732765	P	20.4064205	-86.9128418	2015-03-04	08:30:00	obsr164423	S22265986	Traveling	P22	EBIRD	300	40.234		22	1	G1172114	0	1	0		Carefree Birding Cruise Group	
URN:CornellLabOfOrnithology:EBIRD:OBS341184744	2015-09-08 13:00:23	19161	species	Cozumel Vireo	Vireo bairdi			X				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			PN Chankanaab	L1127535	H	20.4421721	-86.9942701	2015-09-01	09:30:00	obsr122549	S24948500	Traveling	P22	EBIRD	240	4.828		3	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS354120159	2015-11-18 17:01:41	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			San Miguel--Bello Caribe	L815042	H	20.5466511	-86.905632	2015-11-18	10:24:00	obsr246379	S25899688	Traveling	P22	EBIRD	108	4		1	1		0	1	0		<br />Submitted from eBird for iOS, version 1.1.3 Build 30	
URN:CornellLabOfOrnithology:EBIRD:OBS328692823	2015-09-29 14:48:21	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Isla Cozumel	L221424	H	20.3983115	-86.961937	2015-06-16	14:00:00	obsr527571	S24040579	Traveling	P22	EBIRD	300	64.374		1	1		0	1	0		Birding around the island via scooter	Seen along bike path frontage road, west coast.
URN:CornellLabOfOrnithology:EBIRD:OBS359751469	2016-06-20 15:33:23	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Off the main road	L4074932	P	20.4613541	-86.9720221	2015-12-18	15:20:00	obsr350794	S26354340	Traveling	P22	EBIRD	60	1.609		1	1		0	1	0		This is only my second time birding in Cozumel and I was without a field guide, but I used a list of birds of Cozumel, a guide to birds of the Caribbean, and an advanced knowledge of North American birds as well as took photos and recordings.	
URN:CornellLabOfOrnithology:EBIRD:OBS292536065	2015-05-18 18:04:43	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178				Hotel Casa del Mar	L3306115	P	20.4830647	-86.9712067	2015-01-16	06:30:00	obsr462388	S21486743	Stationary	P21	EBIRD	10			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS355973606	2017-03-26 13:36:23	19161	species	Cozumel Vireo	Vireo bairdi			1			Unknown Sex, Adult (1)	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Isla Cozumel -- San Gervaiso entrance road	L4032042	P	20.467493	-86.878109	2015-11-28	08:45:00	obsr57292	S26034614	Traveling	P22	EBIRD	50	1.5		2	1	G1482881	1	1	0		Stopping occasionally along the first part of the entrance road and walking up the side roads a short distance. Sunny and mostly clear. Light winds. Good birding along the road.  <br />Submitted from eBird for iOS, version 1.1.3 Build 30	
URN:CornellLabOfOrnithology:EBIRD:OBS298799463	2015-05-18 17:57:30	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Isla Cozumel	L221424	H	20.3983115	-86.961937	2015-02-20	07:00:00	obsr549196	S22008051	Traveling	P22	EBIRD	480	40.233		3	1	G1154217	0	1	0		Submitted from  BirdLog CA for Android v1.9.6	
URN:CornellLabOfOrnithology:EBIRD:OBS308569558	2015-07-21 21:29:49	19161	species	Cozumel Vireo	Vireo bairdi			4				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Zona Arqueológica San Gervasio	L454906	H	20.499828	-86.8459126	2015-03-28	07:30:00	obsr31691	S22762458	Traveling	P22	EBIRD	420	14.484		1	1	G1211852	0	1	0		I birded along the entrance road and then throughout the site, encountering several massive mixed feeding flocks	
URN:CornellLabOfOrnithology:EBIRD:OBS357443110	2018-08-06 17:45:18	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Isla Cozumel--Subdivisión Abandonados	L2439002	H	20.4573627	-86.9600916	2015-12-06	07:25:00	obsr37316	S26153181	Traveling	P22	EBIRD	70	1.609		6	1	G2193885	0	1	0		<br />Submitted from eBird for iOS, version 1.1.3 Build 30	
URN:CornellLabOfOrnithology:EBIRD:OBS292531283	2015-05-18 18:04:43	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178				Hotel Casa del Mar	L3306115	P	20.4830647	-86.9712067	2015-01-14	06:20:00	obsr462388	S21486307	Stationary	P21	EBIRD	25			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS388920669	2018-08-06 17:45:23	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Club Campestre Cozumel	L2351725	H	20.5459037	-86.9223261	2016-03-28	07:40:00	obsr412369	S28779265	Traveling	P22	EBIRD	100	0.9		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS444687923	2016-11-22 11:28:02	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Club Campestre Cozumel	L2351725	H	20.5459037	-86.9223261	2016-11-22	08:00:00	obsr302151	S32665619	Traveling	P22	EBIRD	120	1.127		1	1		0	1	0		Most birds were just about 100m in on the entrance road. Just before you reach the large pond on the left, there is a dirt track that crossed the paved road. Either way along this track and at its junction with the paved road had a large warbler flock. Taking the dirt track to the right (if you are coming from the entrance) brings you to a small marsh. Ruddy Crake was here and came out to a tape. Note that this species takes some time to respond and often not until you stop playback.	great looks
URN:CornellLabOfOrnithology:EBIRD:OBS432085089	2016-09-25 13:03:04	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178				Costa Del Sol- Island Cozumel	L4931006	P	20.4145684	-87.015502	2016-09-22	17:45:00	obsr456149	S31749547	Traveling	P22	EBIRD	60	1.609		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS439794160	2016-11-01 00:19:36	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Planetario Cha'an Ka'an de Cozumel	L4993746	H	20.47668	-86.969191	2016-10-15	17:00:00	obsr347955	S32321505	Traveling	P22	EBIRD	60	1		10	1		0	1	0		8º Festival de las Aves, Isla Cozumel. Tal vez hubo más observadores, no recuerdo con exactitud.	
URN:CornellLabOfOrnithology:EBIRD:OBS384180306	2016-03-19 15:51:17	19161	species	Cozumel Vireo	Vireo bairdi			3				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			planatarium	L4403087	P	20.4746785	-86.9608877	2016-03-08	17:05:00	obsr229707	S28428851	Traveling	P22	EBIRD	30	0.805		5	1	G1652749	0	1	0		CO Gk ma, Pop adn Willy	
URN:CornellLabOfOrnithology:EBIRD:OBS416833372	2016-07-08 20:42:17	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			planatarium	L4403087	P	20.4746785	-86.9608877	2016-03-08	15:25:00	obsr90614	S30607136	Traveling	P22	EBIRD	20	0.402		5	1	G1840588	0	1	0		Basalisk.  CO, GK, Ma, Pop and Willy	
URN:CornellLabOfOrnithology:EBIRD:OBS384170799	2016-03-19 15:51:17	19161	species	Cozumel Vireo	Vireo bairdi			3				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			planatarium	L4403087	P	20.4746785	-86.9608877	2016-03-08	17:05:00	obsr280131	S28428077	Traveling	P22	EBIRD	30	0.805		5	1	G1652749	0	1	0		CO Gk ma, Pop adn Willy	
URN:CornellLabOfOrnithology:EBIRD:OBS413079645	2016-06-19 21:48:02	19161	species	Cozumel Vireo	Vireo bairdi			3				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			planatarium	L4403087	P	20.4746785	-86.9608877	2016-03-08	17:05:00	obsr90614	S30310270	Traveling	P22	EBIRD	30	0.805		5	1	G1652749	0	1	0		CO Gk ma, Pop adn Willy	
URN:CornellLabOfOrnithology:EBIRD:OBS384187290	2016-03-19 17:05:01	19161	species	Cozumel Vireo	Vireo bairdi			3				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			planatarium	L4403087	P	20.4746785	-86.9608877	2016-03-09	08:30:00	obsr280131	S28429399	Traveling	P22	EBIRD	30	0.805		4	1	G1652883	0	1	0		CO GK, Pop and WIlly (mom rested in the car)	
URN:CornellLabOfOrnithology:EBIRD:OBS384780727	2016-03-21 18:17:41	19161	species	Cozumel Vireo	Vireo bairdi			3				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			planatarium	L4403087	P	20.4746785	-86.9608877	2016-03-08	17:05:00	obsr341419	S28473192	Traveling	P22	EBIRD	30	0.805		5	1	G1652749	0	1	0		CO Gk ma, Pop adn Willy	
URN:CornellLabOfOrnithology:EBIRD:OBS413079721	2016-06-19 21:48:15	19161	species	Cozumel Vireo	Vireo bairdi			3				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			planatarium	L4403087	P	20.4746785	-86.9608877	2016-03-09	08:30:00	obsr90614	S30310274	Traveling	P22	EBIRD	30	0.805		4	1	G1652883	0	1	0		CO GK, Pop and WIlly (mom rested in the car)	
